CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
81963969,2,1,2,F,44,7,2,M,A,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
82020251,2,1,1,F,22,7,1,M,-,2,"SAN LUIS OBISPO","SAN LUIS OBISPO",2023
82098423,1,1,2,F,69,7,2,L,G,0,"SAN LUIS OBISPO","PASO ROBLES",2023
82112326,2,1,3,M,77,5,9,-,P,-,"SAN LUIS OBISPO",ATASCADERO,2023
82161879,2,1,3,M,70,5,9,-,P,-,"SAN LUIS OBISPO","SAN LUIS OBISPO",2023
82161880,1,1,1,F,32,5,1,M,A,1,"SAN LUIS OBISPO","SAN LUIS OBISPO",2023
82167645,1,1,1,F,66,7,1,L,G,0,"SAN LUIS OBISPO",ATASCADERO,2023
82199110,1,1,1,F,48,6,1,L,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2023
82199110,1,2,2,F,8,5,4,P,Q,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2023
82199110,1,3,2,M,13,6,3,L,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2023
82253573,2,1,3,F,10,6,9,-,P,-,"SAN LUIS OBISPO","PASO ROBLES",2023
82263749,1,1,4,M,59,5,1,-,A,1,"SAN LUIS OBISPO","SAN LUIS OBISPO",2023
82289803,1,1,2,F,62,7,3,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2023
8465917,1,1,3,M,26,1,9,P,-,3,"SAN LUIS OBISPO","PASO ROBLES",2018
8465917,2,1,2,M,8,0,5,P,G,0,"SAN LUIS OBISPO","PASO ROBLES",2018
8567490,1,1,1,M,17,3,1,P,W,1,"SAN LUIS OBISPO","SAN LUIS OBISPO",2018
